date,open,high,low,close,volume,maket cap
2014-5-26,572.07065297,590.04302948,565.36330091,583.94249099,41509.40323512,24239104.32449142
2014-5-27,583.01643555,590.71183759,552.58325346,571.27990429,54841.31417901,31329740.71546976
2014-5-28,570.20832453,588.96249488,560.09643594,577.69279282,25227.75118993,14573890.04156374
2014-5-29,576.47785263,580.48537441,558.65180143,569.95761838,24201.0863115,13793593.51626654
2014-5-3,449.88029642,454.49660318,432.22703521,437.98034324,19124.7697462,8376273.21788018
2014-5-30,570.94669764,624.44076949,567.61746777,619.21118067,62258.42347195,38551111.90479546
2014-5-31,619.12033469,632.55994615,607.56330789,630.39653818,25483.91330745,16064970.72816934
2014-5-4,438.46153615,440.04700499,429.75758897,435.40382261,10318.01120228,4492501.51925398
2014-5-5,434.63450656,441.82248201,425.99926588,431.56145975,18653.16368927,8049986.55063207
2014-5-6,431.34366755,432.559399,419.4767355,428.15396614,23941.27030961,10250549.83744896
2014-5-7,428.24380842,447.12278577,422.50671772,437.32666722,34026.39119024,14880648.25667936
2014-5-8,437.39257697,446.40450604,435.98007482,435.98007482,15067.35468284,6569066.42189003
2014-5-9,435.11194156,469.45973381,435.11194156,448.90001139,17490.80081824,7851620.68647356
2014-6-1,630.84174941,676.11814858,619.32646177,628.49652069,78467.42973962,49316506.57876521
2014-6-10,648.62177341,669.84532427,644.39762341,650.75469248,19314.01907258,12568688.54220567
2014-6-11,650.75080536,656.13107889,628.60748074,630.04526502,31062.11649278,19570539.41767745
2014-6-12,630.37236099,643.35773327,568.90677842,587.15703225,72371.65781218,42493527.81966476
2014-6-13,584.08982082,615.90024536,584.08982082,597.47094127,48648.31894636,29065956.91216273
2014-6-14,597.90449297,599.84722218,546.21485315,576.35013404,53862.54043776,31043682.40078805
2014-6-15,572.60799559,591.9884615,552.44538655,591.9884615,32034.80533859,18964235.12688925
2014-6-16,591.17997666,608.48923226,585.45039641,590.43798225,37285.47824376,22014762.54159182
2014-6-17,589.96274192,627.85403918,589.04559322,609.75703826,23361.57060323,14244882.10006223
2014-6-18,608.97931305,623.09251524,602.481268,607.91704968,22457.1967695,13652112.80418279
2014-6-19,607.96402153,621.85499517,592.93139654,592.93139654,19098.30590619,11323985.1924571
2014-6-2,628.12843904,670.37603015,616.56228684,661.31313876,57359.23017118,37932412.54133582
2014-6-20,592.6420083,614.68155416,586.33223855,594.11123856,23725.37830369,14095513.88934204
2014-6-21,593.67721063,606.4616471,584.75584754,603.69065312,11586.44044905,6994625.80200326
2014-6-22,603.77371666,615.29933749,594.01066143,600.9412123,13395.79916775,8050087.79157084
2014-6-23,600.77697348,605.93279223,583.91338043,589.97235212,17280.7148437,10195143.98273828
2014-6-24,589.77737626,611.96858841,581.02034882,589.51272475,18209.11997062,10734507.929195
2014-6-25,588.1138498,589.11619913,561.33502209,564.17166661,26976.4542631,15219351.16078713
2014-6-26,564.6535561,581.68179343,562.90557844,581.00884734,17864.53522205,10379453.01770147
2014-6-27,581.0913832,601.50404703,578.93675531,601.50404703,25441.53294742,15303185.03046285
2014-6-28,602.00356494,606.3228314,593.83219205,594.22625558,14410.41872613,8563049.16102099
2014-6-29,593.46806242,601.9986484,593.46323602,600.34090061,8701.569752,5223908.22164011
2014-6-3,661.18487653,675.65958722,652.12180803,669.66083277,46728.89816885,31292512.86202623
2014-6-30,600.1584806,646.0242878,598.08857405,639.19831396,52958.73386648,33851133.39706684
2014-6-4,670.12522811,670.12522811,623.69199478,642.62224501,61889.26185479,39771416.39508336
2014-6-5,641.4871881,670.55648496,640.33272747,658.99256577,30935.29376529,20386128.61122579
2014-6-6,658.44596236,690.12218911,649.92282103,649.92282103,19386.50364203,12599731.13701089
2014-6-7,650.33985977,663.62603035,644.08420015,660.5823979,17966.43473311,11868310.53779302
2014-6-8,660.56045694,692.67888198,651.15337062,655.915439,9561.63609359,6271624.73589209
2014-6-9,655.47343423,662.2318656,642.89242806,646.42178756,21174.02838821,13687353.28047722
2014-7-1,641.49395872,658.63040735,637.61518816,638.37589245,41432.21504558,26449327.25583962
2014-7-10,625.48015006,626.45435191,613.18106977,616.65178587,17779.94362064,10964033.98632117
2014-7-11,616.41943719,633.89299387,615.52154654,633.89299387,15980.38703286,10129855.37944982
2014-7-12,633.84691997,640.82751551,629.50221762,635.00523404,15240.76847703,9677967.75367483
2014-7-13,635.62742027,635.83740256,626.7852049,629.30657419,11524.17071091,7252236.39044404
2014-7-14,629.47473622,630.0068577,616.42882963,617.58513966,16388.17758419,10121094.94217421
2014-7-15,618.02980155,625.93265015,617.43758562,622.33738026,14669.79787946,9129563.58128012
2014-7-16,622.12174153,623.63386913,615.78643056,617.40600063,16320.26131595,10076227.26838203
2014-7-17,617.84580187,628.70559506,614.1341805,624.85311823,18498.28058044,11558708.30266189
2014-7-18,624.62884592,630.12830618,619.87465778,630.12830618,17483.608428,11016916.56465939
2014-7-19,631.2180817,631.2180817,625.61904423,629.05955596,10220.60281456,6429367.86819865
2014-7-2,639.24873448,656.60667824,637.54357677,650.90506827,21808.31623862,14195143.57012231
2014-7-20,628.96128725,629.06182673,622.42134585,623.58387499,8089.40007751,5044419.44668206
2014-7-21,623.96254145,624.05050165,618.68155757,621.48067542,14753.91064509,9169270.35273675
2014-7-22,622.33512637,625.2822339,621.26223801,622.06535556,12494.75311221,7772553.0374121
2014-7-23,621.72375352,625.62068184,618.98589157,620.75830032,12340.40805915,7660410.73211146
2014-7-24,620.55996423,621.42656357,594.53730313,601.69337244,35974.77853045,21645785.81690858
2014-7-25,601.71572412,607.5573771,595.08059835,601.8689446,21114.02435334,12707875.55372001
2014-7-26,602.86924316,602.87522747,592.9119108,595.88659638,16190.49635238,9647699.76509474
2014-7-27,595.81740891,599.77642283,592.38346167,592.81134281,13336.05063767,7905762.08634728
2014-7-28,593.23930679,594.35928792,572.87588578,586.58157782,33221.87301278,19487338.6899207
2014-7-29,585.0908018,588.8750196,581.44701876,586.78999392,21020.90840598,12334858.71573294
2014-7-3,650.48707318,652.2751249,638.92866309,645.32968091,16221.35635789,10468122.72236306
2014-7-30,586.84237078,586.84237078,561.22697576,565.38507377,29100.58304183,16453035.28994381
2014-7-31,566.06490182,587.73826518,561.54482307,582.47429294,32224.93389224,18770195.5839999
2014-7-4,644.19767183,648.43442566,628.72501891,629.33823626,20188.59977333,12705457.77400135
2014-7-5,630.21343185,633.54939443,627.46457176,633.54939443,8412.47195895,5329716.51522459
